frameNo,left,top,w,h,conf,lat,long,alt
878,1701,1120,82,114,0,23,73,133
879,1697,1115,84,113,0,23,73,133
880,1693,1111,87,113,0,23,73,133
881,1689,1106,90,112,0,23,73,133
882,1684,1102,92,112,0,23,73,133
883,1680,1097,94,111,0,23,73,133
884,1676,1092,97,111,0,23,73,133
885,1672,1088,100,110,0,23,73,133
886,1668,1083,102,110,0,23,73,133
887,1664,1079,104,109,0,23,73,133
888,1660,1074,107,109,0,23,73,133
889,1656,1069,110,108,0,23,73,133
890,1651,1065,112,108,0,23,73,133
891,1647,1060,114,107,0,23,73,133
892,1643,1056,117,107,0,23,73,133
893,1639,1051,120,106,0,23,73,133
894,1635,1046,122,105,0,23,73,133
895,1631,1042,124,105,0,23,73,133
896,1627,1037,127,104,0,23,73,133
897,1622,1033,130,104,0,23,73,133
898,1618,1028,132,103,0,23,73,133
899,1614,1023,134,103,0,23,73,133
900,1610,1019,137,102,0,23,73,133
901,1606,1014,140,102,0,23,73,133
902,1602,1010,142,101,0,23,73,133
903,1598,1005,144,101,0,23,73,133
904,1594,1000,147,100,0,23,73,133
905,1589,996,150,100,0,23,73,133
906,1585,991,152,99,0,23,73,133
907,1581,987,154,99,0,23,73,133
908,1577,982,157,98,0,23,73,133
909,1575,976,160,98,0,23,73,133
910,1572,970,163,99,0,23,73,133
911,1570,964,166,99,0,23,73,133
912,1568,958,168,99,0,23,73,133
913,1565,952,171,100,0,23,73,133
914,1563,946,174,100,0,23,73,133
915,1561,940,177,100,0,23,73,133
916,1558,933,180,101,0,23,73,133
917,1556,927,183,101,0,23,73,133
918,1554,921,186,101,0,23,73,133
919,1551,915,189,102,0,23,73,133
920,1549,909,191,102,0,23,73,133
921,1547,903,194,102,0,23,73,133
922,1544,897,197,103,0,23,73,133
923,1542,891,200,103,0,23,73,133
924,1550,885,195,100,0,23,73,133
925,1537,879,204,106,0,23,73,133
926,1531,875,208,108,0,23,73,133
927,1531,867,210,109,0,23,73,133
928,1528,861,212,112,0,23,73,133
929,1518,856,220,115,0,23,73,133
930,1510,849,226,116,0,23,73,133
931,1516,840,224,114,0,23,73,133
932,1528,832,216,110,0,23,73,133
933,1513,828,224,113,0,23,73,133
934,1508,822,228,114,0,23,73,133
935,1506,815,232,113,0,23,73,133
936,1503,809,234,114,0,23,73,133
937,1500,803,236,115,0,23,73,133
938,1496,797,239,116,0,23,73,133
939,1493,791,241,117,0,23,73,133
940,1498,787,239,117,0,23,73,133
941,1520,779,215,116,0,23,73,133
942,1542,772,191,115,0,23,73,133
943,1564,764,167,114,0,23,73,133
944,1586,756,143,114,0,23,73,133
945,1608,748,119,113,0,23,73,133
946,1630,741,95,112,0,23,73,133
947,1652,733,71,111,0,23,73,133
948,1651,726,71,111,0,23,73,133
949,1649,719,71,111,0,23,73,133
950,1648,713,71,111,0,23,73,133
951,1647,706,71,111,0,23,73,133
952,1645,699,71,111,0,23,73,133
953,1644,692,72,111,0,23,73,133
954,1643,685,72,111,0,23,73,133
955,1641,679,72,111,0,23,73,133
956,1640,672,72,111,0,23,73,133
957,1638,665,72,111,0,23,73,133
958,1637,658,72,111,0,23,73,133
959,1636,651,72,111,0,23,73,133
960,1634,645,72,111,0,23,73,133
961,1633,638,72,111,0,23,73,133
962,1632,631,72,111,0,23,73,133
963,1630,624,73,111,0,23,73,133
964,1629,617,73,111,0,23,73,133
965,1628,610,73,111,0,23,73,133
966,1626,604,73,111,0,23,73,133
967,1625,597,73,111,0,23,73,133
968,1624,590,73,111,0,23,73,133
969,1622,583,73,111,0,23,73,133
970,1621,576,73,111,0,23,73,133
971,1619,570,73,111,0,23,73,133
972,1618,563,73,111,0,23,73,133
973,1617,556,74,111,0,23,73,133
974,1615,549,74,111,0,23,73,133
975,1614,542,74,111,0,23,73,133
976,1613,536,74,111,0,23,73,133
977,1611,529,74,111,0,23,73,133
978,1610,522,74,111,0,23,73,133
979,1606,516,75,111,0,23,73,133
980,1604,509,75,111,0,23,73,133
981,1602,502,76,111,0,23,73,133
982,1599,495,76,111,0,23,73,133
983,1597,488,76,111,0,23,73,133
984,1595,481,76,111,0,23,73,133
985,1593,474,77,111,0,23,73,133
986,1590,467,77,111,0,23,73,133
987,1588,460,77,111,0,23,73,133
988,1586,453,78,110,0,23,73,133
989,1584,446,78,110,0,23,73,133
990,1581,439,78,110,0,23,73,133
991,1579,432,79,110,0,23,73,133
992,1577,425,79,110,0,23,73,133
993,1575,418,79,110,0,23,73,133
994,1572,411,79,110,0,23,73,133
995,1570,404,80,110,0,23,73,133
996,1568,397,80,110,0,23,73,133
997,1566,390,82,109,0,23,73,133
998,1563,381,83,110,0,23,73,133
999,1560,374,84,110,0,23,73,133
1000,1558,369,84,108,0,23,73,133
1001,1558,361,84,107,0,23,73,133
1002,1556,352,82,106,0,23,73,133
1003,1557,344,82,107,0,23,73,133
1004,1555,337,82,108,0,23,73,133
1005,1554,330,82,108,0,23,73,133
1006,1552,323,82,109,0,23,73,133
1007,1550,316,82,109,0,23,73,133
1008,1549,308,83,110,0,23,73,133
1009,1547,301,83,110,0,23,73,133
1010,1545,294,83,111,0,23,73,133
1011,1544,287,83,111,0,23,73,133
1012,1542,280,83,112,0,23,73,133
1013,1540,271,82,112,0,23,73,133
1014,1536,263,80,110,0,23,73,133
1015,1534,256,80,110,0,23,73,133
1016,1532,248,79,110,0,23,73,133
1017,1531,239,80,111,0,23,73,133
1018,1530,232,78,109,0,23,73,133
1019,1528,225,80,109,0,23,73,133
1020,1527,217,81,109,0,23,73,133
1021,1525,209,80,110,0,23,73,133
1022,1522,203,81,110,0,23,73,133
1023,1520,195,80,109,0,23,73,133
1024,1519,186,78,110,0,23,73,133
1025,1517,180,79,111,0,23,73,133
1026,1515,172,80,111,0,23,73,133
1027,1513,162,80,112,0,23,73,133
1028,1510,155,78,112,0,23,73,133
1029,1510,148,76,111,0,23,73,133
1030,1509,140,75,111,0,23,73,133
1031,1506,132,76,110,0,23,73,133
1032,1504,124,77,110,0,23,73,133
1033,1502,117,78,111,0,23,73,133
1034,1499,109,78,111,0,23,73,133
1035,1498,102,78,111,0,23,73,133
1036,1496,94,78,110,0,23,73,133
1037,1494,85,78,111,0,23,73,133
1038,1493,76,79,111,0,23,73,133
1039,1489,69,79,110,0,23,73,133
1040,1485,62,79,110,0,23,73,133
1041,1484,55,79,109,0,23,73,133
1042,1480,45,78,109,0,23,73,133
1043,1477,38,78,109,0,23,73,133
1044,1478,30,77,109,0,23,73,133
1045,1474,21,78,109,0,23,73,133
1046,1471,12,79,110,0,23,73,133
1047,1471,6,78,109,0,23,73,133
1048,1469,0,77,107,0,23,73,133
1049,1467,0,78,100,0,23,73,133
1050,1468,0,75,89,0,23,73,133
1051,1467,0,70,82,0,23,73,133
1052,1467,0,66,74,0,23,73,133
1053,1467,0,62,67,0,23,73,133
1054,1470,0,57,58,0,23,73,133
